,sentence,score,magnitude
2871,RT @lisiagosto: Viva Puerto Rico 🇵🇷!,0.4000000059604645,0.4000000059604645
2872,"https://t.co/LGwX79D5FZ
Marcha “Somos más”.",0.6000000238418579,0.6000000238418579
2873,"#RickyRenuncio #PuertoRico #yeseniatorresfigueroa https://t.co/nmMZt0ONGe
#RickyRenuncio https://t.co/wwuxpBwM14
#Tv #PuertoRico #DanielKSoloDebut #alerterouge #Bolivia #RickyRenuncio #NoronaEsTanSucioQue https://t.co/R5J7JchPAp
Como la política y la música no mezclan, no patrocinaré a Luis Fonsi(con mucho dolor) ni a Tito el bambino(con bast…",-0.5,0.5
2874,"https://t.co/oBznBfYRv0
En las redes sociales se organizó Puerto Rico para la lucha contra el gobernador.",0.5,0.5
2875,"Y fue através de una red social q… https://t.co/lCDeMmYBwm
@NotiUno #RickyRenuncio #RickySeFue #RickyTeBotamos
Renuncia De Rosselló Será Efectiva El 2 De Agosto, ¡Así Que Tiene Unos Diítas Más Para Hacer Escante!",0.800000011920929,0.800000011920929
2876,"#RickyRenunció https://t.co/7EgWY9JaF0
Mr.",0.0,0.0
2877,"Mayor, heaing can begin when the US Government acknowledges its negligence and finally treats this colony with…",-0.800000011920929,0.800000011920929
2878,"https://t.co/BUMrWeHeXg
Un pueblo unido es el enemigo más grande que tenga un opresor.",0.5,0.5
2879,"El 24 de Julio 2019 será un año recordado no por la… https://t.co/5oOeRTZwqK
Gracias a los derechos civiles logrados por las generaciones pasadas, vale la pena aclarar.",0.8999999761581421,0.8999999761581421
2880,RT @jbrownedianis: Power concedes nothing without a demand.,-0.10000000149011612,0.10000000149011612
2881,-Frederick Douglass    Power to the People of Puerto Rico!,0.20000000298023224,0.20000000298023224
2882,https://t.co/HdDbFyG…,0.10000000149011612,0.10000000149011612
2883,@cheosantiago @eileencardet @zamiratv @AnaToledoDavila @JackyFontanez @deviIette @hferrerpr @ProfAngelRosa…,0.0,0.0
2884,"https://t.co/bhzYs9triJ
feliz por el pueblo de PUERTO RICO logro su meta, sacar a un pésimo gobernador, excelente.",-0.30000001192092896,0.30000001192092896
2885,Sin embargo no se puede…,0.0,0.0
2886,"https://t.co/VOCnGU2Emd
YESSSS I wish I was in PR right now.",0.20000000298023224,0.20000000298023224
2887,This is fucking beautiful.,0.6000000238418579,0.6000000238418579
